language,license,rightsHolder,datasetID,institutionCode,datasetName,taxonID,scientificName,kingdom,phylum,class,order,family,genus,taxonRank,nomenclaturalCode
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",INBO,"Checklist of alien species of the Scheldt estuary, Belgium",alien-scheldt-checklist:taxon:3539fecba050c0a5966b5602d6456580,Dreissena bugensis,Animalia,Mollusca,Bivalvia,Veneroida,Dreissenidae,Dreissena,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",INBO,"Checklist of alien species of the Scheldt estuary, Belgium",alien-scheldt-checklist:taxon:389c04684fe374f9bc6622f303ebe5b2,"Potamopyrgus antipodarum (J.E. Gray, 1843)",Animalia,Mollusca,Gastropoda,,Hydrobiidae,Potamopyrgus,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",INBO,"Checklist of alien species of the Scheldt estuary, Belgium",alien-scheldt-checklist:taxon:3a4d96007dd59bb82c74bfe77bb4b0ae,"Marenzelleria neglecta (Sikorski & Bick, 2004)",Animalia,Annelida,Polychaeta,Spionida,Spionidae,Marenzelleria,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",INBO,"Checklist of alien species of the Scheldt estuary, Belgium",alien-scheldt-checklist:taxon:3cb6206d76ff883611673bfb18d83553,Rangia cuneata,Animalia,Mollusca,Bivalvia,Veneroida,Mactridae,Rangia,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",INBO,"Checklist of alien species of the Scheldt estuary, Belgium",alien-scheldt-checklist:taxon:3ce0f947a30fdb18c295425c89ee2482,"Orchestia cavimana Heller, 1865",Animalia,Arthropoda,Malacostraca,Amphipoda,Talitridae,Orchestia,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",INBO,"Checklist of alien species of the Scheldt estuary, Belgium",alien-scheldt-checklist:taxon:3d9cdf064351ac57422febb803b7e52f,"Chelicorophium curvispinum (G.O. Sars, 1895)",Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Chelicorophium,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",INBO,"Checklist of alien species of the Scheldt estuary, Belgium",alien-scheldt-checklist:taxon:4277762d7c4e6eff0c2437003a8e0765,"Melita nitida Smith, 1837",Animalia,Arthropoda,Malacostraca,Amphipoda,Melitidae,Melita,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",INBO,"Checklist of alien species of the Scheldt estuary, Belgium",alien-scheldt-checklist:taxon:4580493f51f8d4c0a3fa998ea3d27c8a,Hemigrapsus takanoi,Animalia,Arthropoda,Malacostraca,Decapoda,Grapsidae,Hemigrapsus,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",INBO,"Checklist of alien species of the Scheldt estuary, Belgium",alien-scheldt-checklist:taxon:4b66504f07d381e4e34cc926d577595f,"Cordylophora caspia (Pallas, 1771)",Animalia,Cnidaria,Hydrozoa,Anthoathecata,Cordylophoridae,Cordylophora,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",INBO,"Checklist of alien species of the Scheldt estuary, Belgium",alien-scheldt-checklist:taxon:517b3e4d6625dfe56482e6cbda9f3a76,Limnodrilus maumeensis,Animalia,Annelida,Clitellata,Haplotaxida,Naididae,Limnodrilus,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",INBO,"Checklist of alien species of the Scheldt estuary, Belgium",alien-scheldt-checklist:taxon:55f7ddf71c4e3d956b5e056a85032bde,"Mya arenaria Linnaeus, 1758",Animalia,Mollusca,Bivalvia,Myoida,Myidae,Mya,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",INBO,"Checklist of alien species of the Scheldt estuary, Belgium",alien-scheldt-checklist:taxon:55f8a871a14a4768b5418c4cd77fd40b,Physella acuta,Animalia,Mollusca,Gastropoda,,Physinae,Physella,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",INBO,"Checklist of alien species of the Scheldt estuary, Belgium",alien-scheldt-checklist:taxon:61c0fd64e2ca26af52945f18b2b74e54,Synidotea laticauda,Animalia,Arthropoda,Malacostraca,Isopoda,Idoteidae,Synidotea,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",INBO,"Checklist of alien species of the Scheldt estuary, Belgium",alien-scheldt-checklist:taxon:647f3f5d79c26df46062cb810e18cec2,"Palaemon macrodactylus Rathbun, 1902",Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",INBO,"Checklist of alien species of the Scheldt estuary, Belgium",alien-scheldt-checklist:taxon:6f83cd5d94324cbabc5287c556780404,Branchiura sowerbyi,Animalia,Annelida,Clitellata,Haplotaxida,Naididae,Branchiura,species,ICZN
