"scientific name","kingdom","phylum","class","order","family","genus","taxon rank","nomenclatural code","location","country code","occurrence status","origin","date first observation","date last observation","degree of establishment","introduction pathway","remarks","native range","realm","source","abundance","threat status","host","date added","added by","verified by","GBIF scientific name","GBIF matchtype","GBIF confidence","GBIF rank"
"Limnomysis benedeni","Animalia","Arthropoda","Malacostraca","Mysida","Mysidae","Limnomysis","species","ICZN","Flanders","BE","present","introduced","2012",NA,"established","corridor_water",NA,"Ponto-caspian","estuarine",NA,NA,NA,NA,"2020-07-03","Jan Soors",NA,"Limnomysis benedeni Czerniavsky, 1882","EXACT",98,"SPECIES"
"Magallana gigas  (Thunberg, 1793)","Animalia","Mollusca","Bivalvia","Ostreoida","Ostreidae","Magallana","species","ICZN","Flanders","BE","present","introduced",NA,NA,"established","escape_aquaculture",NA,"Asia","estuarine",NA,NA,NA,NA,"2020-07-03","Jan Soors",NA,"Magallana gigas (Thunberg, 1793)","EXACT",99,"SPECIES"
"Marenzelleria neglecta (Sikorski & Bick, 2004)","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Marenzelleria","species","ICZN","Flanders","BE","present","introduced","1996",NA,"established","stowaway_ship",NA,"Northern America","estuarine","Soors, J., van Haaren, T., Tarmo, T., & Speybroeck, J. (2013). Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): A new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions, 8(1), 37-44. [10.3391/ai.2013.8.1.04]. https://doi.org/10.3391/ai.2013.8.1.04",NA,NA,NA,"2020-07-03","Jan Soors",NA,"Marenzelleria neglecta Sikorski & Bick, 2004","EXACT",98,"SPECIES"
"Melita nitida Smith, 1837","Animalia","Arthropoda","Malacostraca","Amphipoda","Melitidae","Melita","species","ICZN","Flanders","BE","present","introduced","2000",NA,"established","stowaway_ballast_water",NA,"Pacific ocean","estuarine","Faasse, M.; Van Moorsel, G. (2003). The North-American amphipods, Melita nitida Smith, 1873 and Incisocalliope aestuarius (Watling and Maurer, 1973) (Crustacea: Amphipoda: Gammaridea), introduced to the Western Scheldt estuary (The Netherlands). Aquatic Ecology. 37(1): 13-22.",NA,NA,NA,"2020-07-03","Jan Soors",NA,"Melita nitida Smith, 1873","EXACT",100,"SPECIES"
"Monopylephorus limosus","Animalia","Annelida","Clitellata","Haplotaxida","Naididae","Monopylephorus","species","ICZN","Flanders","BE","present","introduced","2002",NA,"casual","stowaway",NA,"Southern Asia | Eastern Asia","estuarine","Soors, J., van Haaren, T., Tarmo, T., & Speybroeck, J. (2013). Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): A new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions, 8(1), 37-44. [10.3391/ai.2013.8.1.04]. https://doi.org/10.3391/ai.2013.8.1.04",NA,NA,NA,"2020-07-03","Jan Soors",NA,"Monopylephorus limosus (Hatai, 1898)","EXACT",98,"SPECIES"
"Mulinia lateralis","Animalia","Mollusca","Bivalvia","Veneroida","Mactridae","Mulinia","species","ICZN","Flanders","BE","present","introduced","2019","2019","casual","stowaway_ballast_water",NA,"Northern America","estuarine","unpublished records INBO",NA,NA,NA,NA,NA,NA,"Mulinia lateralis (Say, 1822)","EXACT",98,"SPECIES"
"Mya arenaria Linnaeus, 1758","Animalia","Mollusca","Bivalvia","Myoida","Myidae","Mya","species","ICZN","Flanders","BE","present","introduced","1993?",NA,"established","corridor_water",NA,"Atlantic ocean | Arctic ocean","estuarine",NA,NA,NA,NA,"2020-07-03","Jan Soors",NA,"Mya arenaria Linnaeus, 1758","EXACT",100,"SPECIES"
"Mytilopsis leucophaeata (Conrad, 1831)","Animalia","Mollusca","Bivalvia","Veneroida","Dreissenidae","Mytilopsis","species","ICZN","Flanders","BE","present","introduced","1835",NA,"established","stowaway_ballast_water | stowaway_ship",NA,"Northern America | Africa","estuarine",NA,NA,NA,NA,"2020-07-03","Jan Soors",NA,"Mytilopsis leucophaeata (Conrad, 1831)","EXACT",99,"SPECIES"
"Nemopsis bachei Agassiz, 1849","Animalia","Cnidaria","Hydrozoa","Anthoathecata","Bougainvilliidae","Nemopsis","species","ICZN","Flanders","BE","present","introduced","2012",NA,"casual","escape_aquaculture",NA,"Northern Atlantic Ocean","estuarine",NA,NA,NA,NA,"2020-07-03","Jan Soors",NA,"Nemopsis bachei L.Agassiz, 1849","EXACT",100,"SPECIES"
"Neomysis americana","Animalia","Arthropoda","Malacostraca","Mysida","Mysidae","Neomysis","species","ICZN","Flanders","BE","present","introduced","2012",NA,"established","escape_aquaculture",NA,"Northern America","estuarine","Soors et al, prep",NA,NA,NA,"2020-07-03","Jan Soors",NA,"Neomysis americana (S.I.Smith, 1873)","EXACT",98,"SPECIES"
"Palaemon macrodactylus Rathbun, 1902","Animalia","Arthropoda","Malacostraca","Decapoda","Palaemonidae","Palaemon","species","ICZN","Flanders","BE","present","introduced","2003",NA,"established","escape_aquaculture",NA,"Asia","estuarine","Soors, J., Faasse, M., Stevens, M., Verbessem, I., De Regge, N., & Van den Bergh, E. (2010). New crustacean invaders in the Schelde estuary (Belgium). BELGIAN JOURNAL OF ZOOLOGY, 140(1), 3-10.",NA,NA,NA,"2020-07-03","Jan Soors",NA,"Palaemon macrodactylus Rathbun, 1902","EXACT",100,"SPECIES"
"Penaeus aztecus","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","Penaeus","species","ICZN","Flanders","BE","present","introduced","2018","2018","casual","stowaway",NA,"Central America","estuarine","Soors, J., Breine, J., d'Acoz d'Udekem, C., Bergh, E. V. D., Meutter, F. V. D., & Terrie, T. (2020). Penaeus aztecus Ives, 1891 (Crustacea, Decapoda), in the Scheldt estuary (Belgium): Isolated record or forerunner of a penaeid invasion? Journal of Experimental Marine Biology and Ecology, 530-531. https://doi.org/10.1016/j.jembe.2020.151437",NA,NA,NA,"2020-07-06","Jan Soors",NA,"Penaeus aztecus Ives, 1891","EXACT",98,"SPECIES"
"Petricolaria pholadiformis Lamarck, 1818","Animalia","Mollusca","Bivalvia","Veneroida","Veneridae","Petricolaria","species","ICZN","Flanders","BE","present","introduced","1995",NA,"casual","escape_aquaculture",NA,"Northern America","estuarine",NA,NA,NA,NA,"2020-07-03","Jan Soors",NA,"Petricolaria pholadiformis (Lamarck, 1818)","EXACT",98,"SPECIES"
"Physella acuta","Animalia","Mollusca","Gastropoda","Basommatophora","Physinae","Physella","species","ICZN","Flanders","BE","present","introduced","2007",NA,"casual","contaminant_plant",NA,"Northern America","estuarine",NA,NA,NA,NA,"2020-07-03","Jan Soors",NA,"Physella acuta (Draparnaud, 1805)","EXACT",97,"SPECIES"
"Potamocorbula amurensis","Animalia","Mollusca","Bivalvia","Myoida","Corbulidae","Potamocorbula","species","ICZN","Flanders","BE","present","introduced","2018",NA,"invasive","stowaway_ballast_water",NA,"Northern Pacific Ocean","estuarine",NA,NA,NA,NA,"2020-07-03","Jan Soors",NA,"Potamocorbula amurensis (Schrenck, 1861)","EXACT",98,"SPECIES"
